"","Country","Region","Market","Product","Date","Open","High","Low","Close","Currency"
"","Nigeria","Market Average","Market Average","gari","2008-11-01","11798.09","12092.23","11375.74","11402.02","NGN"
"","Nigeria","Market Average","Market Average","gari","2008-12-01","11417.38","11726.08","11097.76","11227.44","NGN"
"","Nigeria","Market Average","Market Average","gari","2009-01-01","11173.03","11456.02","10887.78","11088.12","NGN"
"","Nigeria","Market Average","Market Average","gari","2009-02-01","11127.16","11399.59","10860.11","11262.57","NGN"
"","Nigeria","Market Average","Market Average","gari","2009-03-01","11323.76","11582.12","10893.13","10903.81","NGN"
"","Nigeria","Market Average","Market Average","gari","2009-04-01","10915.08","11202.74","10627.42","10900.27","NGN"
"","Nigeria","Market Average","Market Average","gari","2009-05-01","10860.15","11111.21","10608.83","10758.27","NGN"
"","Nigeria","Market Average","Market Average","gari","2009-06-01","10811.71","11057.96","10565.45","10856.9","NGN"
"","Nigeria","Market Average","Market Average","gari","2009-07-01","10884.4","11476.99","10646.53","11476.99","NGN"
"","Nigeria","Market Average","Market Average","gari","2009-08-01","11633","12008.32","11287.46","11896.09","NGN"
"","Nigeria","Market Average","Market Average","gari","2009-09-01","12089.96","12412.38","11771.7","12158.68","NGN"
"","Nigeria","Market Average","Market Average","gari","2009-10-01","12229.33","12528.3","11282.17","11282.17","NGN"
"","Nigeria","Market Average","Market Average","gari","2009-11-01","11183.48","11598.43","10570.34","10587.76","NGN"
"","Nigeria","Market Average","Market Average","gari","2009-12-01","10428.94","11314.59","10055.09","11314.59","NGN"
"","Nigeria","Market Average","Market Average","gari","2010-01-01","11452.5","11934.7","10970.29","11364.57","NGN"
"","Nigeria","Market Average","Market Average","gari","2010-02-01","11585.31","11958.67","11198.27","11356.02","NGN"
"","Nigeria","Market Average","Market Average","gari","2010-03-01","11281.86","11622.12","10951.93","11446.18","NGN"
"","Nigeria","Market Average","Market Average","gari","2010-04-01","11489.63","11777.88","11199.45","11416.1","NGN"
"","Nigeria","Market Average","Market Average","gari","2010-05-01","11503.23","11773.61","11232.66","11441.54","NGN"
"","Nigeria","Market Average","Market Average","gari","2010-06-01","11449.4","11709.67","11189.23","11511.85","NGN"
"","Nigeria","Market Average","Market Average","gari","2010-07-01","11563.18","11831.96","11305.06","11722.1","NGN"
"","Nigeria","Market Average","Market Average","gari","2010-08-01","11821.64","12087.22","11172.76","11172.76","NGN"
"","Nigeria","Market Average","Market Average","gari","2010-09-01","11128.02","11466.69","10689.19","10727.62","NGN"
"","Nigeria","Market Average","Market Average","gari","2010-10-01","10609.53","10924.11","10298.86","10765.72","NGN"
"","Nigeria","Market Average","Market Average","gari","2010-11-01","10811.1","11440.53","10530.89","11436.19","NGN"
"","Nigeria","Market Average","Market Average","gari","2010-12-01","11626.33","11997.52","11227.11","11321.78","NGN"
"","Nigeria","Market Average","Market Average","gari","2011-01-01","11396.21","11720.88","11045.28","11113.57","NGN"
"","Nigeria","Market Average","Market Average","gari","2011-02-01","11042.57","11338.13","10747.1","11161.83","NGN"
"","Nigeria","Market Average","Market Average","gari","2011-03-01","11200.29","11572.41","10931.43","11556.79","NGN"
"","Nigeria","Market Average","Market Average","gari","2011-04-01","11702.98","12124.65","11408.6","12100.1","NGN"
"","Nigeria","Market Average","Market Average","gari","2011-05-01","12255.11","12583.88","11926.52","12288.62","NGN"
"","Nigeria","Market Average","Market Average","gari","2011-06-01","12404.34","12695.7","12112.99","12390.57","NGN"
"","Nigeria","Market Average","Market Average","gari","2011-07-01","12421.71","12699.88","12122.62","12218.08","NGN"
"","Nigeria","Market Average","Market Average","gari","2011-08-01","12245.15","12521.81","11904.13","12125.77","NGN"
"","Nigeria","Market Average","Market Average","gari","2011-09-01","12136.98","12471.75","11816.78","12054.82","NGN"
"","Nigeria","Market Average","Market Average","gari","2011-10-01","12090.68","12403.62","11787.76","12262.83","NGN"
"","Nigeria","Market Average","Market Average","gari","2011-11-01","12322.29","12615.86","12030.26","12439.24","NGN"
"","Nigeria","Market Average","Market Average","gari","2011-12-01","12562.49","12884.17","12280.86","12822.08","NGN"
"","Nigeria","Market Average","Market Average","gari","2012-01-01","12916.76","13220.1","12125.72","12125.72","NGN"
"","Nigeria","Market Average","Market Average","gari","2012-02-01","12106.32","12647.9","11718.49","12633.66","NGN"
"","Nigeria","Market Average","Market Average","gari","2012-03-01","12633.66","13021.85","12241.85","12520.89","NGN"
"","Nigeria","Market Average","Market Average","gari","2012-04-01","12691.68","13063.63","12365.69","12984.62","NGN"
"","Nigeria","Market Average","Market Average","gari","2012-05-01","13031.9","13362.61","12701.18","12883.01","NGN"
"","Nigeria","Market Average","Market Average","gari","2012-06-01","12961.3","13275.91","12660.51","12835.14","NGN"
"","Nigeria","Market Average","Market Average","gari","2012-07-01","12852.67","13143.18","12563.75","12941.54","NGN"
"","Nigeria","Market Average","Market Average","gari","2012-08-01","12996.74","13283.25","12702.3","12822.51","NGN"
"","Nigeria","Market Average","Market Average","gari","2012-09-01","12878.97","13165.47","11991.73","12003.71","NGN"
"","Nigeria","Market Average","Market Average","gari","2012-10-01","11893.73","12464.69","11488.11","12392.45","NGN"
"","Nigeria","Market Average","Market Average","gari","2012-11-01","12389.11","12786.64","11991.58","12529.64","NGN"
"","Nigeria","Market Average","Market Average","gari","2012-12-01","12724.15","13073.23","12361.55","12540.69","NGN"
"","Nigeria","Market Average","Market Average","gari","2013-01-01","12556.77","12876.77","12243.85","12734.15","NGN"
"","Nigeria","Market Average","Market Average","gari","2013-02-01","12761.15","13058.59","12461.39","12647.06","NGN"
"","Nigeria","Market Average","Market Average","gari","2013-03-01","12740.45","13058.11","12462.76","12994.98","NGN"
"","Nigeria","Market Average","Market Average","gari","2013-04-01","13051.6","13355.14","12748.07","12979.55","NGN"
